Year,Month,Temperature_Anomaly
1919,Mar,-0.21
1920,Mar,-0.12
1921,Mar,-0.22
1922,Mar,-0.14
1923,Mar,-0.33
1924,Mar,-0.08
1925,Mar,-0.27
1926,Mar,0.12
1927,Mar,-0.38
1928,Mar,-0.24
1929,Mar,-0.32
1930,Mar,-0.1
1931,Mar,-0.1
1932,Mar,-0.18
1933,Mar,-0.29
1934,Mar,-0.28
1935,Mar,-0.14
1936,Mar,-0.2
1937,Mar,-0.2
1938,Mar,0.1
1939,Mar,-0.17
1940,Mar,0.09
1941,Mar,0.1
1942,Mar,0.06
1943,Mar,-0.03
1944,Mar,0.26
1945,Mar,0.06
1946,Mar,0.01
1947,Mar,0.07
1948,Mar,-0.24
1949,Mar,-0.02
1950,Mar,-0.07
1951,Mar,-0.2
1952,Mar,-0.08
1953,Mar,0.11
1954,Mar,-0.15
1955,Mar,-0.32
1956,Mar,-0.21
1957,Mar,-0.05
1958,Mar,0.08
1959,Mar,0.18
1960,Mar,-0.35
1961,Mar,0.09
1962,Mar,0.1
1963,Mar,-0.14
1964,Mar,-0.21
1965,Mar,-0.13
1966,Mar,0.03
1967,Mar,0.05
1968,Mar,0.2
1969,Mar,0.01
1970,Mar,0.06
1971,Mar,-0.18
1972,Mar,0.02
1973,Mar,0.29
1974,Mar,-0.05
1975,Mar,0.12
1976,Mar,-0.22
1977,Mar,0.25
1978,Mar,0.19
1979,Mar,0.19
1980,Mar,0.3
1981,Mar,0.48
1982,Mar,0.03
1983,Mar,0.42
1984,Mar,0.26
1985,Mar,0.17
1986,Mar,0.3
1987,Mar,0.19
1988,Mar,0.52
1989,Mar,0.36
1990,Mar,0.8
1991,Mar,0.35
1992,Mar,0.48
1993,Mar,0.36
1994,Mar,0.29
1995,Mar,0.47
1996,Mar,0.33
1997,Mar,0.52
1998,Mar,0.63
1999,Mar,0.32
2000,Mar,0.55
2001,Mar,0.56
2002,Mar,0.88
2003,Mar,0.6
2004,Mar,0.63
2005,Mar,0.74
2006,Mar,0.63
2007,Mar,0.73
2008,Mar,0.75
2009,Mar,0.54
2010,Mar,0.93
2011,Mar,0.66
2012,Mar,0.58
2013,Mar,0.67
2014,Mar,0.78
2015,Mar,0.96
2016,Mar,1.36
2017,Mar,1.16
2018,Mar,0.88
2019,Mar,1.17
2020,Mar,1.17
2021,Mar,0.88
2022,Mar,1.05
2023,Mar,1.2
1880,Apr,-0.16
1881,Apr,0.05
1882,Apr,-0.17
1883,Apr,-0.18
1884,Apr,-0.4
1885,Apr,-0.42
1886,Apr,-0.28
1887,Apr,-0.35
1888,Apr,-0.21
1889,Apr,0.09
1890,Apr,-0.3
1891,Apr,-0.27
1892,Apr,-0.34
1893,Apr,-0.27
1894,Apr,-0.46
1895,Apr,-0.23
1896,Apr,-0.3
1897,Apr,-0.02
1898,Apr,-0.31
1899,Apr,-0.21
1900,Apr,-0.08
1901,Apr,-0.03
1902,Apr,-0.27
1903,Apr,-0.41
1904,Apr,-0.5
1905,Apr,-0.33
1906,Apr,-0.05
1907,Apr,-0.36
1908,Apr,-0.44
1909,Apr,-0.59
1910,Apr,-0.42
1911,Apr,-0.54
1912,Apr,-0.17
1913,Apr,-0.39
1914,Apr,-0.29
1915,Apr,0.07
1916,Apr,-0.3
1917,Apr,-0.54
1918,Apr,-0.44
1919,Apr,-0.12
1920,Apr,-0.24
1921,Apr,-0.29
1922,Apr,-0.23
1923,Apr,-0.4
1924,Apr,-0.29
1925,Apr,-0.25
1926,Apr,-0.12
1927,Apr,-0.3
1928,Apr,-0.28
1929,Apr,-0.41
1930,Apr,-0.24
1931,Apr,-0.23
1932,Apr,-0.06
1933,Apr,-0.24
1934,Apr,-0.3
1935,Apr,-0.37
1936,Apr,-0.2
1937,Apr,-0.15
1938,Apr,0.07
1939,Apr,-0.1
1940,Apr,0.18
1941,Apr,0.16
1942,Apr,0.09
1943,Apr,0.11
1944,Apr,0.2
1945,Apr,0.2
1946,Apr,0.06
1947,Apr,0.06
1948,Apr,-0.12
1949,Apr,-0.11
1950,Apr,-0.21
1951,Apr,-0.14
1952,Apr,0.04
1953,Apr,0.19
1954,Apr,-0.14
1955,Apr,-0.22
1956,Apr,-0.28
1957,Apr,0
1958,Apr,0.01
1959,Apr,0.16
1960,Apr,-0.15
1961,Apr,0.13
1962,Apr,0.05
1963,Apr,-0.07
1964,Apr,-0.32
1965,Apr,-0.19
1966,Apr,-0.13
1967,Apr,-0.05
1968,Apr,-0.06
1969,Apr,0.17
1970,Apr,0.05
1971,Apr,-0.07
1972,Apr,0
1973,Apr,0.27
1974,Apr,-0.11
1975,Apr,0.04
1976,Apr,-0.07
1977,Apr,0.26
1978,Apr,0.17
1979,Apr,0.15
1980,Apr,0.3
1981,Apr,0.32
1982,Apr,0.15
1983,Apr,0.28
1984,Apr,0.06
1985,Apr,0.12
1986,Apr,0.22
1987,Apr,0.24
1988,Apr,0.43
1989,Apr,0.29
1990,Apr,0.56
1991,Apr,0.51
1992,Apr,0.27
1993,Apr,0.28
1994,Apr,0.41
1995,Apr,0.47
1996,Apr,0.33
1997,Apr,0.34
1998,Apr,0.63
1999,Apr,0.32
2000,Apr,0.57
2001,Apr,0.5
2002,Apr,0.58
2003,Apr,0.55
2004,Apr,0.61
2005,Apr,0.67
2006,Apr,0.47
2007,Apr,0.77
2008,Apr,0.54
2009,Apr,0.61
2010,Apr,0.85
2011,Apr,0.65
2012,Apr,0.73
2013,Apr,0.54
2014,Apr,0.8
2015,Apr,0.76
2016,Apr,1.1
2017,Apr,0.94
2018,Apr,0.89
2019,Apr,1.01
2020,Apr,1.13
2021,Apr,0.75
2022,Apr,0.83
2023,Apr,1
1880,May,-0.1
1881,May,0.06
1882,May,-0.15
1883,May,-0.18
1884,May,-0.34
1885,May,-0.45
1886,May,-0.25
1887,May,-0.31
1888,May,-0.22
1889,May,-0.01
1890,May,-0.4
1891,May,-0.17
1892,May,-0.24
1893,May,-0.33
1894,May,-0.33
1895,May,-0.29
1896,May,-0.16
1897,May,-0.01
1898,May,-0.3
1899,May,-0.24
1900,May,-0.09
1901,May,-0.15
1902,May,-0.32
1903,May,-0.39
1904,May,-0.52
1905,May,-0.29
1906,May,-0.26
1907,May,-0.46
1908,May,-0.37
1909,May,-0.55
1910,May,-0.34
1911,May,-0.52
1912,May,-0.22
1913,May,-0.44
1914,May,-0.21
1915,May,-0.06
1916,May,-0.35
1917,May,-0.55
1918,May,-0.43
1919,May,-0.28
1920,May,-0.27
1921,May,-0.3
1922,May,-0.33
1923,May,-0.33
1924,May,-0.18
1925,May,-0.29
1926,May,-0.23
1927,May,-0.25
1928,May,-0.3
1929,May,-0.38
1930,May,-0.24
1931,May,-0.2
1932,May,-0.17
1933,May,-0.29
1934,May,-0.09
1935,May,-0.28
1936,May,-0.16
1937,May,-0.05
1938,May,-0.09
1939,May,-0.04
1940,May,0.11
1941,May,0.17
1942,May,0.11
1943,May,0.07
1944,May,0.2
1945,May,0.06
1946,May,-0.07
1947,May,-0.02
1948,May,-0.01
1949,May,-0.1
1950,May,-0.11
1951,May,0
1952,May,-0.03
1953,May,0.11
1954,May,-0.2
1955,May,-0.2
1956,May,-0.29
1957,May,0.09
1958,May,0.06
1959,May,0.04
1960,May,-0.08
1961,May,0.12
1962,May,-0.06
1963,May,-0.06
1964,May,-0.25
1965,May,-0.12
1966,May,-0.12
1967,May,0.12
1968,May,-0.14
1969,May,0.18
1970,May,-0.03
1971,May,-0.05
1972,May,-0.03
1973,May,0.23
1974,May,-0.04
1975,May,0.16
1976,May,-0.21
1977,May,0.33
1978,May,0.09
1979,May,0.04
1980,May,0.35
1981,May,0.25
1982,May,0.18
1983,May,0.34
1984,May,0.33
1985,May,0.14
1986,May,0.21
1987,May,0.26
1988,May,0.44
1989,May,0.17
1990,May,0.46
1991,May,0.34
1992,May,0.31
1993,May,0.28
1994,May,0.28
1995,May,0.27
1996,May,0.27
1997,May,0.34
1998,May,0.68
1999,May,0.27
2000,May,0.36
2001,May,0.58
2002,May,0.64
2003,May,0.61
2004,May,0.37
2005,May,0.63
2006,May,0.48
2007,May,0.69
2008,May,0.49
2009,May,0.65
2010,May,0.76
2011,May,0.53
2012,May,0.78
2013,May,0.61
2014,May,0.86
2015,May,0.8
2016,May,0.95
2017,May,0.91
2018,May,0.82
2019,May,0.85
2020,May,1.01
2021,May,0.78
2022,May,0.84
2023,May,0.93
1880,June,-0.21
1881,June,-0.19
1882,June,-0.23
1883,June,-0.08
1884,June,-0.36
1885,June,-0.44
1886,June,-0.35
1887,June,-0.25
1888,June,-0.17
1889,June,-0.1
1890,June,-0.25
1891,June,-0.21
1892,June,-0.23
1893,June,-0.25
1894,June,-0.41
1895,June,-0.22
1896,June,-0.11
1897,June,-0.11
1898,June,-0.19
1899,June,-0.32
1900,June,-0.1
1901,June,-0.11
1902,June,-0.31
1903,June,-0.42
1904,June,-0.48
1905,June,-0.28
1906,June,-0.19
1907,June,-0.41
1908,June,-0.38
1909,June,-0.52
1910,June,-0.39
1911,June,-0.51
1912,June,-0.24
1913,June,-0.45
1914,June,-0.25
1915,June,-0.22
1916,June,-0.49
1917,June,-0.43
1918,June,-0.36
1919,June,-0.36
1920,June,-0.36
1921,June,-0.27
1922,June,-0.3
1923,June,-0.29
1924,June,-0.26
1925,June,-0.32
1926,June,-0.26
1927,June,-0.27
1928,June,-0.39
1929,June,-0.43
1930,June,-0.22
1931,June,-0.08
1932,June,-0.29
1933,June,-0.34
1934,June,-0.15
1935,June,-0.26
1936,June,-0.21
1937,June,-0.05
1938,June,-0.17
1939,June,-0.06
1940,June,0.12
1941,June,0.13
1942,June,0.05
1943,June,-0.05
1944,June,0.16
1945,June,0.01
1946,June,-0.21
1947,June,-0.01
1948,June,-0.05
1949,June,-0.27
1950,June,-0.05
1951,June,-0.06
1952,June,-0.03
1953,June,0.12
1954,June,-0.19
1955,June,-0.14
1956,June,-0.15
1957,June,0.16
1958,June,-0.08
1959,June,0.03
1960,June,-0.04
1961,June,0.11
1962,June,0.03
1963,June,0.05
1964,June,-0.04
1965,June,-0.08
1966,June,0.01
1967,June,-0.08
1968,June,-0.09
1969,June,0.03
1970,June,-0.03
1971,June,-0.16
1972,June,0.04
1973,June,0.19
1974,June,-0.05
1975,June,-0.01
1976,June,-0.12
1977,June,0.27
1978,June,-0.01
1979,June,0.14
1980,June,0.21
1981,June,0.29
1982,June,0.06
1983,June,0.23
1984,June,0.02
1985,June,0.15
1986,June,0.12
1987,June,0.35
1988,June,0.4
1989,June,0.15
1990,June,0.38
1991,June,0.53
1992,June,0.26
1993,June,0.23
1994,June,0.44
1995,June,0.43
1996,June,0.29
1997,June,0.55
1998,June,0.77
1999,June,0.36
2000,June,0.4
2001,June,0.52
2002,June,0.53
2003,June,0.48
2004,June,0.44
2005,June,0.65
2006,June,0.66
2007,June,0.61
2008,June,0.49
2009,June,0.65
2010,June,0.68
2011,June,0.63
2012,June,0.64
2013,June,0.69
2014,June,0.67
2015,June,0.81
2016,June,0.8
2017,June,0.72
2018,June,0.77
2019,June,0.9
2020,June,0.92
2021,June,0.84
2022,June,0.92
2023,June,1.08
1880,July,-0.18
1881,July,0
1882,July,-0.17
1883,July,-0.07
1884,July,-0.3
1885,July,-0.34
1886,July,-0.18
1887,July,-0.26
1888,July,-0.11
1889,July,-0.08
1890,July,-0.28
1891,July,-0.18
1892,July,-0.32
1893,July,-0.14
1894,July,-0.25
1895,July,-0.18
1896,July,-0.02
1897,July,-0.02
1898,July,-0.23
1899,July,-0.17
1900,July,-0.13
1901,July,-0.14
1902,July,-0.27
1903,July,-0.34
1904,July,-0.51
1905,July,-0.26
1906,July,-0.23
1907,July,-0.34
1908,July,-0.35
1909,July,-0.45
1910,July,-0.35
1911,July,-0.42
1912,July,-0.42
1913,July,-0.36
1914,July,-0.23
1915,July,-0.12
1916,July,-0.37
1917,July,-0.25
1918,July,-0.31
1919,July,-0.29
1920,July,-0.3
1921,July,-0.14
1922,July,-0.27
1923,July,-0.31
1924,July,-0.28
1925,July,-0.27
1926,July,-0.27
1927,July,-0.19
1928,July,-0.19
1929,July,-0.36
1930,July,-0.21
1931,July,-0.04
1932,July,-0.24
1933,July,-0.21
1934,July,-0.1
1935,July,-0.21
1936,July,-0.09
1937,July,-0.03
1938,July,-0.09
1939,July,-0.05
1940,July,0.12
1941,July,0.22
1942,July,0
1943,July,0.09
1944,July,0.18
1945,July,0.04
1946,July,-0.12
1947,July,-0.04
1948,July,-0.11
1949,July,-0.13
1950,July,-0.08
1951,July,-0.01
1952,July,0.04
1953,July,0.01
1954,July,-0.19
1955,July,-0.11
1956,July,-0.09
1957,July,0.02
1958,July,0.05
1959,July,0.03
1960,July,-0.04
1961,July,0.01
1962,July,0.02
1963,July,0.06
1964,July,-0.04
1965,July,-0.13
1966,July,0.08
1967,July,0.02
1968,July,-0.13
1969,July,-0.04
1970,July,0.01
1971,July,-0.08
1972,July,0.01
1973,July,0.12
1974,July,-0.03
1975,July,0
1976,July,-0.1
1977,July,0.2
1978,July,0.04
1979,July,0.04
1980,July,0.22
1981,July,0.32
1982,July,0.15
1983,July,0.18
1984,July,0.19
1985,July,0.04
1986,July,0.11
1987,July,0.4
1988,July,0.33
1989,July,0.34
1990,July,0.46
1991,July,0.47
1992,July,0.09
1993,July,0.25
1994,July,0.3
1995,July,0.45
1996,July,0.37
1997,July,0.34
1998,July,0.66
1999,July,0.38
2000,July,0.39
2001,July,0.59
2002,July,0.62
2003,July,0.58
2004,July,0.26
2005,July,0.61
2006,July,0.54
2007,July,0.6
2008,July,0.6
2009,July,0.74
2010,July,0.63
2011,July,0.7
2012,July,0.59
2013,July,0.6
2014,July,0.58
2015,July,0.73
2016,July,0.85
2017,July,0.82
2018,July,0.82
2019,July,0.94
2020,July,0.9
2021,July,0.92
2022,July,0.93
2023,July,1.18
1880,Aug,-0.1
1881,Aug,-0.04
1882,Aug,-0.07
1883,Aug,-0.14
1884,Aug,-0.28
1885,Aug,-0.32
1886,Aug,-0.31
1887,Aug,-0.36
1888,Aug,-0.16
1889,Aug,-0.21
1890,Aug,-0.39
1891,Aug,-0.18
1892,Aug,-0.28
1893,Aug,-0.25
1894,Aug,-0.26
1895,Aug,-0.19
1896,Aug,-0.05
1897,Aug,-0.09
1898,Aug,-0.27
1899,Aug,-0.09
1900,Aug,-0.09
1901,Aug,-0.2
1902,Aug,-0.3
1903,Aug,-0.45
1904,Aug,-0.49
1905,Aug,-0.2
1906,Aug,-0.2
1907,Aug,-0.34
1908,Aug,-0.46
1909,Aug,-0.34
1910,Aug,-0.37
1911,Aug,-0.44
1912,Aug,-0.54
1913,Aug,-0.33
1914,Aug,-0.16
1915,Aug,-0.22
1916,Aug,-0.28
1917,Aug,-0.22
1918,Aug,-0.31
1919,Aug,-0.33
1920,Aug,-0.26
1921,Aug,-0.26
1922,Aug,-0.33
1923,Aug,-0.33
1924,Aug,-0.36
1925,Aug,-0.2
1926,Aug,-0.14
1927,Aug,-0.24
1928,Aug,-0.22
1929,Aug,-0.33
1930,Aug,-0.15
1931,Aug,-0.04
1932,Aug,-0.22
1933,Aug,-0.23
1934,Aug,-0.11
1935,Aug,-0.22
1936,Aug,-0.13
1937,Aug,0.02
1938,Aug,-0.05
1939,Aug,-0.06
1940,Aug,0.07
1941,Aug,0.15
1942,Aug,-0.04
1943,Aug,0.01
1944,Aug,0.18
1945,Aug,0.26
1946,Aug,-0.2
1947,Aug,-0.07
1948,Aug,-0.12
1949,Aug,-0.13
1950,Aug,-0.16
1951,Aug,0.06
1952,Aug,0.05
1953,Aug,0.05
1954,Aug,-0.17
1955,Aug,0.02
1956,Aug,-0.26
1957,Aug,0.15
1958,Aug,-0.05
1959,Aug,-0.01
1960,Aug,0.02
1961,Aug,0
1962,Aug,-0.01
1963,Aug,0.22
1964,Aug,-0.22
1965,Aug,-0.04
1966,Aug,-0.09
1967,Aug,0.01
1968,Aug,-0.09
1969,Aug,0.04
1970,Aug,-0.1
1971,Aug,-0.01
1972,Aug,0.16
1973,Aug,0.05
1974,Aug,0.1
1975,Aug,-0.17
1976,Aug,-0.12
1977,Aug,0.18
1978,Aug,-0.13
1979,Aug,0.17
1980,Aug,0.19
1981,Aug,0.35
1982,Aug,0.04
1983,Aug,0.36
1984,Aug,0.19
1985,Aug,0.17
1986,Aug,0.16
1987,Aug,0.25
1988,Aug,0.39
1989,Aug,0.33
1990,Aug,0.34
1991,Aug,0.39
1992,Aug,0.08
1993,Aug,0.11
1994,Aug,0.21
1995,Aug,0.45
1996,Aug,0.48
1997,Aug,0.41
1998,Aug,0.66
1999,Aug,0.32
2000,Aug,0.43
2001,Aug,0.49
2002,Aug,0.53
2003,Aug,0.65
2004,Aug,0.46
2005,Aug,0.6
2006,Aug,0.71
2007,Aug,0.6
2008,Aug,0.46
2009,Aug,0.69
2010,Aug,0.67
2011,Aug,0.75
2012,Aug,0.65
2013,Aug,0.69
2014,Aug,0.83
2015,Aug,0.8
2016,Aug,1.02
2017,Aug,0.87
2018,Aug,0.76
2019,Aug,0.95
2020,Aug,0.87
2021,Aug,0.82
2022,Aug,0.95
1880,Sep,-0.15
1881,Sep,-0.15
1882,Sep,-0.15
1883,Sep,-0.22
1884,Sep,-0.27
1885,Sep,-0.29
1886,Sep,-0.24
1887,Sep,-0.26
1888,Sep,-0.12
1889,Sep,-0.24
1890,Sep,-0.37
1891,Sep,-0.16
1892,Sep,-0.17
1893,Sep,-0.23
1894,Sep,-0.29
1895,Sep,-0.13
1896,Sep,-0.07
1897,Sep,-0.08
1898,Sep,-0.21
1899,Sep,-0.05
1900,Sep,-0.05
1901,Sep,-0.23
1902,Sep,-0.29
1903,Sep,-0.49
1904,Sep,-0.56
1905,Sep,-0.19
1906,Sep,-0.28
1907,Sep,-0.34
1908,Sep,-0.35
1909,Sep,-0.39
1910,Sep,-0.39
1911,Sep,-0.41
1912,Sep,-0.58
1913,Sep,-0.35
1914,Sep,-0.16
1915,Sep,-0.2
1916,Sep,-0.36
1917,Sep,-0.22
1918,Sep,-0.17
1919,Sep,-0.25
1920,Sep,-0.22
1921,Sep,-0.19
1922,Sep,-0.35
1923,Sep,-0.31
1924,Sep,-0.32
1925,Sep,-0.19
1926,Sep,-0.15
1927,Sep,-0.13
1928,Sep,-0.21
1929,Sep,-0.25
1930,Sep,-0.16
1931,Sep,-0.07
1932,Sep,-0.11
1933,Sep,-0.29
1934,Sep,-0.15
1935,Sep,-0.21
1936,Sep,-0.09
1937,Sep,0.09
1938,Sep,0.01
1939,Sep,-0.07
1940,Sep,0.15
1941,Sep,0.02
1942,Sep,-0.03
1943,Sep,0.05
1944,Sep,0.28
1945,Sep,0.2
1946,Sep,-0.08
1947,Sep,-0.12
1948,Sep,-0.14
1949,Sep,-0.15
1950,Sep,-0.11
1951,Sep,0.05
1952,Sep,0.07
1953,Sep,0.04
1954,Sep,-0.1
1955,Sep,-0.11
1956,Sep,-0.19
1957,Sep,0.09
1958,Sep,-0.02
1959,Sep,-0.06
1960,Sep,0.07
1961,Sep,0.09
1962,Sep,0
1963,Sep,0.18
1964,Sep,-0.29
1965,Sep,-0.15
1966,Sep,-0.03
1967,Sep,-0.06
1968,Sep,-0.19
1969,Sep,0.08
1970,Sep,0.12
1971,Sep,-0.06
1972,Sep,0.02
1973,Sep,0.09
1974,Sep,-0.08
1975,Sep,-0.02
1976,Sep,-0.06
1977,Sep,0.02
1978,Sep,0.06
1979,Sep,0.25
1980,Sep,0.21
1981,Sep,0.15
1982,Sep,0.14
1983,Sep,0.37
1984,Sep,0.21
1985,Sep,0.13
1986,Sep,0.03
1987,Sep,0.35
1988,Sep,0.37
1989,Sep,0.34
1990,Sep,0.23
1991,Sep,0.44
1992,Sep,-0.01
1993,Sep,0.12
1994,Sep,0.32
1995,Sep,0.34
1996,Sep,0.25
1997,Sep,0.52
1998,Sep,0.42
1999,Sep,0.39
2000,Sep,0.39
2001,Sep,0.52
2002,Sep,0.63
2003,Sep,0.62
2004,Sep,0.5
2005,Sep,0.71
2006,Sep,0.65
2007,Sep,0.6
2008,Sep,0.61
2009,Sep,0.72
2010,Sep,0.63
2011,Sep,0.57
2012,Sep,0.73
2013,Sep,0.77
2014,Sep,0.88
2015,Sep,0.85
